,ID,GC
191,Rattus_villosissimus,38.7
192,Cavia_porcellus,39.3
193,Octodon_degus,37.4
194,Thryonomys_swinderianus,36.2
195,Heterocephalus_glaber,41.2
196,Lynx_lynx,41.4
197,Micromys_minutus,37.3
198,Hapalemur_griseus,37.9
199,Monodelphis_domestica,35.0
200,Nanger_granti,38.8
201,Bubalus_depressicornis,40.5
202,Balaena_mysticetus,41.3
203,Caperea_marginata,39.5
204,Lagenorhynchus_albirostris,38.7
205,Kogia_breviceps,43.2
206,Mesoplodon_europaeus,38.5
207,Artibeus_lituratus,37.8
208,Anoura_caudifer,39.4
209,Sturnira_tildae,43.3
210,Choloepus_didactylus,43.3
211,Saimiri_boliviensis,40.7
212,Eulemur_fulvus_mayottensis,39.1
213,Panthera_uncia,41.0
214,Martes_martes,42.3
215,Ursus_maritimus,41.4
216,Chaetophractus_villosus,39.8
217,Macroscelides_proboscideus,38.8
218,Arctocephalus_forsteri,40.9
219,Hydrurga_leptonyx,40.1
220,Dugong_dugon,43.4
221,Vombatus_ursinus,39.6
222,Ovis_ammon,38.9
223,Axis_axis,37.2
224,Dama_dama,37.2
225,Vicugna_pacos,40.8
226,Mephitis_mephitis,37.0
227,Spilogale_putorius,36.5
228,Taxidea_taxus,39.9
229,Leontopithecus_rosalia,37.5
230,Aotus_azarai,38.5
231,Cacajao_calvus,38.7
232,Propithecus_tattersalli,40.0
233,Eulemur_macaco_macaco,38.9
234,Microcebus_murinus,36.3
235,Galago_moholi,41.0
236,Dactylomys_dactylinus,35.7
237,Nannospalax_ehrenbergi,38.8
238,Daubentonia_madagascariensis,41.7
239,Acinonyx_jubatus,39.4
240,Leopardus_pardalis,40.3
241,Zaglossus_bruijni,39.9
242,Colobus_guereza,40.7
243,Balaenoptera_bonaerensis,40.7
244,Rhyncholestes_raphanurus,36.4
245,Dromiciops_gliroides,38.1
246,Propithecus_verreauxi,40.0
247,Indri_indri,40.5
248,Eulemur_mongoz,39.0
249,Eulemur_rubriventer,39.1
250,Proechimys_longicaudatus,35.8
251,Chinchilla_lanigera,40.9
252,Rattus_exulans,37.9
253,Capricornis_sumatraensis,39.7
254,Capricornis_swinhoei,40.0
255,Rupicapra_rupicapra,40.7
256,Naemorhedus_goral,39.2
257,Oreamnos_americanus,38.5
258,Saiga_tatarica,37.9
259,Nyctereutes_procyonoides,40.9
260,Callorhinus_ursinus,40.3
261,Eumetopias_jubatus,40.8
262,Phocarctos_hookeri,41.3
263,Neophocaena_phocaenoides,40.8
264,Petaurus_breviceps,36.6
265,Rattus_tanezumi,38.0
266,Cercopithecus_diana,42.8
267,Cercopithecus_mitis,42.5
268,Papio_ursinus,43.7
269,Mustela_nivalis,40.0
270,Mustela_sibirica,39.8
271,Martes_melampus,41.9
272,Martes_zibellina,42.3
273,Mustela_erminea,39.9
274,Crocidura_russula,37.3
275,Prionailurus_bengalensis,39.4
276,Naemorhedus_caudatus,39.1
277,Ovis_canadensis,38.8
278,Ovibos_moschatus,39.8
279,Hemitragus_jemlahicus,39.7
280,Budorcas_taxicolor,39.2
281,Hippotragus_equinus,39.9
282,Hippotragus_niger,40.1
283,Arctocephalus_pusillus,40.8
284,Aotus_nancymaae,38.7
285,Tupaia_belangeri,40.7
286,Mammuthus_primigenius,38.6
287,Cervus_nippon_taiouanus,38.0
288,Caenolestes_fuliginosus,36.4
289,Isoodon_macrourus,34.3
290,Notoryctes_typhlops,39.4
291,Perameles_gunnii,35.4
292,Gazella_dorcas,38.6
293,Globicephala_macrorhynchus,38.9
294,Distoechurus_pennatus,37.9
295,Dactylopsila_trivirgata,38.4
296,Phascolarctos_cinereus,36.7
297,Tarsipes_rostratus,37.9
298,Onychomys_leucogaster,37.3
299,Apodemus_agrarius,36.1
300,Mammut_americanum,39.0
301,Phoca_fasciata,40.5
302,Phoca_groenlandica,40.3
303,Phoca_largha,41.8
304,Ursus_spelaeus,40.6
305,Cystophora_cristata,41.5
306,Erignathus_barbatus,40.5
307,Oryx_leucoryx,39.3
308,Saimiri_boliviensis_boliviensis,40.7
309,Monodon_monoceros,40.2
310,Carollia_perspicillata,41.4
311,Eulemur_fulvus_fulvus,39.1
312,Macaca_tonkeana,43.4
313,Glis_glis,36.2
314,Phacochoerus_africanus,39.2
315,Sus_barbatus,39.2
316,Sorex_araneus,38.3
317,Dendrohyrax_dorsalis,41.2
318,Metachirus_nudicaudatus,34.4
319,Aotus_lemurinus,39.0
320,Ictidomys_tridecemlineatus,36.3
321,Ctenomys_sociabilis,34.2
322,Rucervus_duvaucelii,37.7
323,Elaphurus_davidianus,38.0
324,Mazama_americana,36.7
325,Nasalis_larvatus,39.1
326,Cynomys_ludovicianus,37.4
327,Leopardus_tigrinus,40.2
328,Leopardus_geoffroyi,40.2
329,Lepus_americanus,39.4
330,Capra_falconeri,39.2
331,Gulo_gulo,41.1
332,Capreolus_pygargus,36.5
333,Mesoplodon_densirostris,36.9
334,Pontoporia_blainvillei,40.4
335,Berardius_bairdii,40.3
336,Hyperoodon_ampullatus,39.6
337,Orcaella_brevirostris,38.7
338,Platanista_minor,40.2
339,Tamandua_tetradactyla,39.1
340,Cabassous_unicinctus,43.1
341,Hylomys_suillus,34.3
342,Cephalophus_silvicultor,39.6
343,Myotis_myotis,35.3
344,Nyctalus_noctula,38.7
345,Jaculus_jaculus,41.0
346,Callithrix_geoffroyi,40.5
347,Mazama_gouazoupira,35.6
348,Rhizomys_pruinosus,36.9
349,Pygathrix_nemaeus,38.7
350,Allenopithecus_nigroviridis,40.9
351,Trachypithecus_vetulus,39.5
352,Trachypithecus_francoisi,38.9
353,Trachypithecus_obscurus,38.7
354,Macaca_nigra,43.0
355,Macaca_silenus,42.9
356,Macaca_thibetana,43.2
357,Urocyon_cinereoargenteus,41.6
358,Mustela_frenata,39.2
359,Sciurus_vulgaris,37.0
360,Pteromys_volans,37.4
361,Myrmecobius_fasciatus,38.9
362,Hexaprotodon_liberiensis,42.1
363,Callithrix_penicillata,40.3
364,Mus_musculus_molossinus,36.9
365,Axis_porcinus,37.4
366,Cynopterus_brachyotis,41.9
367,Eptesicus_serotinus,37.3
368,Myotis_lucifugus,36.9
369,Pteronotus_parnellii,41.0
370,Addax_nasomaculatus,39.4
371,Alcelaphus_buselaphus,41.5
372,Antidorcas_marsupialis,37.4
373,Antilope_cervicapra,39.3
374,Beatragus_hunteri,41.0
375,Connochaetes_gnou,41.0
376,Gazella_subgutturosa,38.8
377,Kobus_leche,38.4
378,Oryx_dammah,39.6
379,Ourebia_ourebi,40.0
380,Pantholops_hodgsonii,39.5
381,Pseudois_nayaur,40.2
382,Raphicerus_campestris,38.3
383,Pelea_capreolus,39.2
384,Redunca_arundinum,39.1
385,Redunca_fulvorufula,40.0
386,Ovis_vignei,38.8
387,Chlorocebus_pygerythrus,42.6
388,Chlorocebus_sabaeus,42.5
389,Chlorocebus_tantalus,42.7
390,Crocidura_beatus,35.5
391,Crocidura_mindorus,35.8
392,Felis_chaus,39.5
393,Felis_margarita,40.1
394,Felis_nigripes,40.2
395,Leopardus_wiedii,40.2
396,Lynx_canadensis,41.2
397,Lynx_rufus,41.0
398,Leopardus_guigna,40.2
399,Prionailurus_rubiginosus,39.8
400,Prionailurus_viverrinus,40.0
401,Caracal_caracal,39.4
402,Prionailurus_planiceps,40.2
403,Leptailurus_serval,39.1
404,Leopardus_colocolo,39.9
405,Otocolobus_manul,39.1
406,Pardofelis_marmorata,40.5
407,Profelis_aurata,39.2
408,Neofelis_nebulosa,41.2
409,Catopuma_badia,39.5
410,Catopuma_temminckii,39.7
411,Rhinopithecus_bieti,38.4
412,Rhinopithecus_roxellana,38.5
413,Nomascus_gabriellae,45.1
414,Nomascus_leucogenys,45.1
415,Plecotus_auritus,38.5
416,Ctenomys_leucodon,34.8
417,Spalacopus_cyanus,37.0
418,Tympanoctomys_barrerae,37.0
419,Sorex_unguiculatus,38.7
420,Neomys_fodiens,36.2
421,Sorex_tundrensis,38.0
422,Episoriculus_caudatus,37.7
423,Mogera_wogura,36.6
424,Lepus_timidus,38.5
425,Homo_sapiens_neanderthalensis,44.4
426,Lepus_townsendii,38.3
427,Ozotoceros_bezoarticus,35.5
428,Callosciurus_erythraeus,39.3
429,Tamias_sibiricus,35.1
430,Lagorchestes_hirsutus,38.8
431,Lagostrophus_fasciatus,40.4
432,Rhinopithecus_avunculus,38.5
433,Trachypithecus_johnii,38.9
434,Madoqua_kirkii,39.6
435,Tragelaphus_angasii,39.5
436,Tragelaphus_scriptus,39.4
437,Neotragus_moschatus,39.5
438,Oreotragus_oreotragus,38.6
439,Nanger_dama,38.9
440,Moschus_berezovskii,37.8
441,Moschus_chrysogaster,38.0
442,Moschus_moschiferus,37.7
443,Chrysocyon_brachyurus,38.4
444,Cuon_alpinus,39.0
445,Vulpes_zerda,41.2
446,Tragelaphus_eurycerus,39.3
447,Tragelaphus_spekii,39.1
448,Cephalophus_natalensis,40.4
449,Gazella_bennettii,38.5
450,Gazella_cuvieri,38.8
451,Gazella_gazella,38.5
452,Gazella_leptoceros,38.8
453,Eudorcas_rufifrons,38.4
454,Nanger_soemmerringii,39.0
455,Gazella_spekei,38.8
456,Litocranius_walleri,37.8
457,Cephalophus_leucogaster,40.1
458,Myrmecophaga_tridactyla,39.1
459,Nandinia_binotata,40.2
460,Muntiacus_crinifrons,38.1
461,Bos_mutus,39.0
462,Capra_caucasica,39.3
463,Capra_ibex,39.6
464,Capra_nubiana,39.4
465,Capra_sibirica,39.6
466,Rupicapra_pyrenaica,40.7
467,Equus_hemionus_kulan,41.5
468,Equus_zebra_hartmannae,41.9
469,Manis_tetradactyla,36.9
470,Tetracerus_quadricornis,37.9
471,Dipus_sagitta,41.6
472,Mesoplodon_grayi,37.2
473,Martes_flavigula,41.0
474,Lophocebus_aterrimus,43.0
475,Cercocebus_chrysogaster,42.0
476,Martes_pennanti,41.7
477,Mustela_eversmannii,40.0
478,Mustela_nigripes,39.9
479,Macaca_cyclopis,43.1
480,Presbytis_melalophos,38.0
481,Lepilemur_ruficaudatus,40.7
482,Microtus_ochrogaster,40.4
483,Tursiops_aduncus,38.8
